TIPO N.U,NOMBRE N.U
ASENTAMIENTO HUMANO,Ampliación Ricardo Durand Flores
ASENTAMIENTO HUMANO,Hijos de Ventanilla
ASENTAMIENTO HUMANO,Alberto Fujimori Fujimori
ASENTAMIENTO HUMANO,Francisco Tudela
ASENTAMIENTO HUMANO,Ampliacion Las Flores
ASENTAMIENTO HUMANO,Ampliación Moises Woll
ASENTAMIENTO HUMANO,Señor de la Justicia
ASENTAMIENTO HUMANO,Jose Carlos Mariategui
ASENTAMIENTO HUMANO,1 de Mayo - Los Jardines
ASENTAMIENTO HUMANO,Ricardo Durand Flores
ASENTAMIENTO HUMANO,Residencial Santisima Cruz de Motupe
ASENTAMIENTO HUMANO,6 de Agosto - Tahuantinsuyo
ASENTAMIENTO HUMANO,Programa de Vivienda Desarrollo 2000
ASENTAMIENTO HUMANO,Las Terrazas
ASENTAMIENTO HUMANO,Ampliación Las Terrazas
ASENTAMIENTO HUMANO,Las Lomas de Ventanilla Alta
ASENTAMIENTO HUMANO,Felix Moreno Caballero
ASENTAMIENTO HUMANO,Las Amazonas
ASENTAMIENTO HUMANO,Jose Gabriel Condorcanqui
ASENTAMIENTO HUMANO,Moises Woll
ASENTAMIENTO HUMANO,El Progreso
ASENTAMIENTO HUMANO,Ampliación Satelite N° 01
ASENTAMIENTO HUMANO,Virgen de Fatima
ASENTAMIENTO HUMANO,Los Pinos
ASENTAMIENTO HUMANO,Mirador de los Humedales de Ventanilla
ASENTAMIENTO HUMANO,1° Mayo - Villamoto
ASENTAMIENTO HUMANO,24 de Agosto
ASENTAMIENTO HUMANO,Maria Jose Cordova de Marcos
ASENTAMIENTO HUMANO,Cesar Vallejo
ASENTAMIENTO HUMANO,Señor de la Justicia
ASOCIACION,Chim Pum Callao
ASOCIACION,Las Palmeras de Ventanilla Alta (ex madres unidas)
ASOCIACION,22 de Octubre
ASOCIACION,Ampliacion Francisco Tudela
ASOCIACION,Residencial Santisima Cruz de Motupe Sector II
ASOCIACION,Descendientes de Ventanilla Alta
ASOCIACION,Santa Rosa de Lima
ASOCIACION,Las Flores de Valle Hermoso
ASOCIACION,Marielita Primo
ASOCIACION,Hijos de las Flores
ASOCIACION,Omar Alfredo Marcos Artega
ASOCIACION,Pobladores de Ventanilla Alta Zona B III Sector
ASOCIACION,Pobladores de Ventanilla Alta
ASOCIACION,Hijos de las Terrazas
ASOCIACION,Las Brisas de Ventanilla
ASOCIACION,8 de Octubre
ASOCIACION,Los Portales
ASOCIACION,Los Triunfadores de Ventanilla Alta
UBANIZACION,Satelite
UBANIZACION,La Bandera
UBANIZACION,Ex zona comercial
ASENTAMIENTO HUMANO,Ampliación Sagrado Corazón
ASENTAMIENTO HUMANO,San Pablo
ASENTAMIENTO HUMANO,San Pedro
ASENTAMIENTO HUMANO,El Golfo de Ventanilla
ASENTAMIENTO HUMANO,Keiko Sofia Fujimori I Etapa
ASENTAMIENTO HUMANO,Monte Sion
ASENTAMIENTO HUMANO,La Paz del Km 37.5
ASENTAMIENTO HUMANO,Las Lomas Km 39
ASENTAMIENTO HUMANO,Los Cedros - I Etapa
ASENTAMIENTO HUMANO,Los Angeles
ASENTAMIENTO HUMANO,Luis Felipe de las Casas
ASENTAMIENTO HUMANO,Corazon de Jesus
ASENTAMIENTO HUMANO,Villa Los Reyes
ASENTAMIENTO HUMANO,Hijos de Villa los Reyes
ASENTAMIENTO HUMANO,Nueva Generación
ASENTAMIENTO HUMANO,Felix Moreno Caballero II
ASENTAMIENTO HUMANO,Los Laureles
ASENTAMIENTO HUMANO,12 de Octubre
ASENTAMIENTO HUMANO,Nuevo Progreso
ASENTAMIENTO HUMANO,Luis Felipe de las Casas II Etapa
ASOCIACION,Santa Margarita
ASOCIACION,Los Constructores de Pachacutec
ASENTAMIENTO HUMANO,Señor de los Milagros
ASENTAMIENTO HUMANO,La Libertad
ASENTAMIENTO HUMANO,Cosmovision
ASENTAMIENTO HUMANO,Shalom
ASENTAMIENTO HUMANO,Oasis de Pachacutec
ASENTAMIENTO HUMANO,Miramar
ASENTAMIENTO HUMANO,Sol y Mar
ASENTAMIENTO HUMANO,Los Alamos - Pachacutec
ASENTAMIENTO HUMANO,Pedro A. Labarthe
ASENTAMIENTO HUMANO,Tupac Amaru
ASENTAMIENTO HUMANO,Brisas II
ASENTAMIENTO HUMANO,Señor de los Milagros II
ASENTAMIENTO HUMANO,Santa Patricia I Etapa
ASENTAMIENTO HUMANO,Inca Pachacutec
ASENTAMIENTO HUMANO,6 de Diciembre
ASENTAMIENTO HUMANO,Pesquero IV
ASENTAMIENTO HUMANO,San Carlos
ASENTAMIENTO HUMANO,Los 4 Suyos
ASENTAMIENTO HUMANO,San Martin de Porres
ASENTAMIENTO HUMANO,Las Poncianas
ASENTAMIENTO HUMANO,La Unión
ASENTAMIENTO HUMANO,PACOP
ASENTAMIENTO HUMANO,La Victoria
ASENTAMIENTO HUMANO,Inca Wasi
ASENTAMIENTO HUMANO,Los Pinos
ASENTAMIENTO HUMANO,AVIMAPA
ASENTAMIENTO HUMANO,Mercado Central
ASENTAMIENTO HUMANO,Costa Azul
ASENTAMIENTO HUMANO,Santisima Cruz de Motupe
ASENTAMIENTO HUMANO,Carlos Garcia Ronceros
ASENTAMIENTO HUMANO,Santa Rosa de Lima - COVIPOL
ASENTAMIENTO HUMANO,San Pablo
ASENTAMIENTO HUMANO,San Pedro de Israel
ASENTAMIENTO HUMANO,Los Jazmines
ASENTAMIENTO HUMANO,Los Naranjos
ASENTAMIENTO HUMANO,Nueva America
ASENTAMIENTO HUMANO,Pesquero III
ASENTAMIENTO HUMANO,Construcción Civil
ASENTAMIENTO HUMANO,Balnearios
ASENTAMIENTO HUMANO,Virgen de Guadalupe
ASENTAMIENTO HUMANO,Inca Garcilazo de la Vega
ASENTAMIENTO HUMANO,Micaela Bastidas
ASENTAMIENTO HUMANO,Nuevo Horizonte
ASENTAMIENTO HUMANO,Pesquero II
ASENTAMIENTO HUMANO,Mini Parque Industrial Cerro Cachito
ASENTAMIENTO HUMANO,20 de Agosto
ASENTAMIENTO HUMANO,Pesquero I
ASENTAMIENTO HUMANO,Nuevo Pachacutec
ASENTAMIENTO HUMANO,Paz y Union
ASENTAMIENTO HUMANO,Pesquero Avanza
ASOCIACION,Los Andes de Pachacutec
ASOCIACION,Laderas de Cerro Cachito
ASOCIACION,Familias Unidas 4 de Setiembre
ASOCIACION,Alan Garcia Perez
ASOCIACION,Santa Patricia II Etapa
ASOCIACION,Proa Chalaca
ASOCIACION,Las Brisas I
ASOCIACION,La Unión Tahuantinsuyo
ASOCIACION,Sector Cerro Cachito
ASENTAMIENTO HUMANO,Jose Maria Arguedas - Parcela C
ASENTAMIENTO HUMANO,Los Cedros II Etapa
ASENTAMIENTO HUMANO,Chavin de Huantar
ASENTAMIENTO HUMANO,31 de Diciembre
ASENTAMIENTO HUMANO,Hiroshima
ASENTAMIENTO HUMANO,Los Jardines del Mirador
ASENTAMIENTO HUMANO,Maria Jesus Espinoza
ASENTAMIENTO HUMANO,8 de Agosto
ASENTAMIENTO HUMANO,Ampliación Heroes del Cenepa
ASENTAMIENTO HUMANO,7 de Junio - Enmanuel
ASENTAMIENTO HUMANO,Sagrado Corazón de Jesus
ASENTAMIENTO HUMANO,Heroes del Cenepa
ASENTAMIENTO HUMANO,Los Olivos de la Paz
ASENTAMIENTO HUMANO,El Mirador
ASENTAMIENTO HUMANO,Felix Moreno Roldan
ASENTAMIENTO HUMANO,12 de Diciembre
ASENTAMIENTO HUMANO,Las Brisas - Parcela C
ASENTAMIENTO HUMANO,Armando Villanueva del Campo
ASENTAMIENTO HUMANO,Formalizados de los 16 Pueblos Parte Baja
ASENTAMIENTO HUMANO,Jose Olaya Balandra
ASENTAMIENTO HUMANO,Villa Rica
ASENTAMIENTO HUMANO,Vivienda Taller Señor de los Milagros
ASENTAMIENTO HUMANO,Cueva de los Tallos
ASENTAMIENTO HUMANO,Sagrado Corazón de Jesus II Etapa
ASENTAMIENTO HUMANO,Santa Rosa de Pachacutec
ASENTAMIENTO HUMANO,Las Casuarinas
ASENTAMIENTO HUMANO,1 de Noviembre - Los Angelitos
ASENTAMIENTO HUMANO,keiko Sofia Fujimori II Etapa
ASOCIACION,Marcelina Caballero de Moreno
ASOCIACION,7 de junio - Confraternidad-Modulos azules
ASENTAMIENTO HUMANO,Puerto Pachacutec
ASENTAMIENTO HUMANO,Jenny Bumachar de Kouri
ASENTAMIENTO HUMANO,15 de Octubre
ASENTAMIENTO HUMANO,Leandra Ortega Espinoza
ASENTAMIENTO HUMANO,Ampliación 5 de Enero
ASENTAMIENTO HUMANO,18 de Febrero
ASENTAMIENTO HUMANO,Los Proceres Parcela I
ASENTAMIENTO HUMANO,6 de Abril
ASENTAMIENTO HUMANO,Ampliación B - 4
ASENTAMIENTO HUMANO,Techo Propio 5ta Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 2da Etapa El Mirador
ASENTAMIENTO HUMANO,Jaime Yoshiyama
ASENTAMIENTO HUMANO,Techo Propio 3ra Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 1ra Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 4ta Etapa El Mirador
ASOCIACION,Buena Vista
ASOCIACION,Ampliación 15 de Abril
ASOCIACION,Omar Marcos Arteaga II
ASOCIACION,19 de Agosto
ASOCIACION,Las Flores
ASOCIACION,8 de Diciembre
ASOCIACION,Ampliacion B - 3
ASOCIACION,Luz y Paz
SECTOR A,Grupo Residencial A - 4
SECTOR A,Grupo Residencial A - 2
SECTOR A,Grupo Residencial A - 3
SECTOR A,Grupo Residencial A - 1
SECTOR B,Grupo Residencial B - 4
SECTOR B,Grupo Residencial B - 3
SECTOR B,Grupo Residencial B - 1
SECTOR B,Grupo Residencial B - 2
SECTOR C,Grupo Residencial C - 4
SECTOR C,Grupo Residencial C - 3
SECTOR C,Grupo Residencial C - 1
SECTOR C,Grupo Residencial C - 2
SECTOR D,Grupo Residencial D - 3
SECTOR D,Grupo Residencial D - 1
SECTOR D,Grupo Residencial D - 2
SECTOR E,Grupo Residencial E - 4
SECTOR E,Grupo Residencial E - 2
SECTOR E,Grupo Residencial E - 6
SECTOR E,Grupo Residencial E - 5
SECTOR E,Grupo Residencial E - 3
SECTOR E,Grupo Residencial E - 1
ASENTAMIENTO HUMANO,Los Alamos
ASENTAMIENTO HUMANO,Nuestro Señor de la Misericordia
ASENTAMIENTO HUMANO,24 de Junio
ASENTAMIENTO HUMANO,Jose de San Martin
ASENTAMIENTO HUMANO,Kumamoto
ASENTAMIENTO HUMANO,Francisco Bolognesi
ASENTAMIENTO HUMANO,Proyecto Integral Todos Unidos - Sector 8 de Marzo
ASENTAMIENTO HUMANO,Las Lomas del Paraiso
ASENTAMIENTO HUMANO,Los Licenciados
ASENTAMIENTO HUMANO,Coordinadora de los Pueblos del Sur
ASENTAMIENTO HUMANO,Ampliación Viñas de Angamos
ASENTAMIENTO HUMANO,Alfonso Ugarte
ASENTAMIENTO HUMANO,Valle Verde
ASENTAMIENTO HUMANO,Kenji Fujimori
ASENTAMIENTO HUMANO,Monte de Sion
ASENTAMIENTO HUMANO,Heroes del Cenepa
ASENTAMIENTO HUMANO,Las Brisas de Ventanilla - Grau
ASENTAMIENTO HUMANO,Angamos 1er y 2do Sector
ASENTAMIENTO HUMANO,18 de octubre
ASENTAMIENTO HUMANO,Villa Hermosa
ASENTAMIENTO HUMANO,Hijos del Almirante Miguel Grau
ASENTAMIENTO HUMANO,Angamos III Sector
ASENTAMIENTO HUMANO,Ampliación los Hijos del Almirante Grau II
ASENTAMIENTO HUMANO,Proyecto Integral Pueblos Unidos para el Desarrollo - Costa Azul
ASENTAMIENTO HUMANO,Anexo Kenji Fujimori
ASENTAMIENTO HUMANO,Proyecto Integral Pueblos Unidos para el Desarrollo - Sector Hijos del Almirante Grau II
ASENTAMIENTO HUMANO,Ampliación Costa Azul
ASENTAMIENTO HUMANO,Los Edificadores
ASENTAMIENTO HUMANO,Santa Fe
ASENTAMIENTO HUMANO,Viñas de Angamos
ASENTAMIENTO HUMANO,Los Jardines de los Licenciados
ASENTAMIENTO HUMANO,Alexander Kouri Bumachar
ASENTAMIENTO HUMANO,Victor Raul Haya de la Torre
ASENTAMIENTO HUMANO,Las Lomas de los Licenciados
ASENTAMIENTO HUMANO,Seycho Marcela Fujimori
ASENTAMIENTO HUMANO,Las Colinas de los Licenciados
ASENTAMIENTO HUMANO,Santa Rosita
ASENTAMIENTO HUMANO,Susana Higushi
ASENTAMIENTO HUMANO,Mariano Ignacio Prado
ASENTAMIENTO HUMANO,Virgen del Carmen
ASENTAMIENTO HUMANO,La Planicie
ASENTAMIENTO HUMANO,Ampliación los Hijos del Almirante Grau I
ASENTAMIENTO HUMANO,Defensores de la Patria
ASENTAMIENTO HUMANO,Kouri Hanna
ASENTAMIENTO HUMANO,Santisima Virgen de Fátima
ASOCIACION,Virgen de Fatima - 8 de Octubre
ASOCIACION,Agrupación de Familias Casa Huerta Virgen de las Mercedes
ASOCIACION,Los Cedros de Ventanilla
ASOCIACION,De Vivienda Los Cipreses de Ventanilla
ASOCIACION,Villa Fuerte
ASOCIACION,Coopemar